[['s1', '20001', 'Fusternberg', '2023-03-28 06:20:01', '344', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 06:20:01', '623', '95.3'], ['s3', '28085', 'Haltern', '2023-03-28 06:20:01', '321', '-'], ['s4', '20008', 'Lünen', '2023-03-28 06:20:01', '340', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 06:20:01', '346', '48'], ['s6', '10026', 'Mengede, A45', '2023-03-28 06:20:01', '144', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 06:20:01', '127', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 06:20:01', '161', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 06:20:01', '90', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 06:20:01', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 06:20:01', '235', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 06:20:01', '97', '-']]
[['s1', '20001', 'Fusternberg', '2023-03-28 06:36:42', '345', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 06:36:42', '623', '94.6'], ['s3', '28085', 'Haltern', '2023-03-28 06:36:42', '319', '-'], ['s4', '20008', 'Lünen', '2023-03-28 06:36:42', '340', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 06:36:42', '346', '48.3'], ['s6', '10026', 'Mengede, A45', '2023-03-28 06:36:42', '144', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 06:36:42', '126', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 06:36:42', '161', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 06:36:42', '90', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 06:36:42', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 06:36:42', '234', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 06:36:42', '97', '-']]
[['s1', '20001', 'Fusternberg', '2023-03-28 06:53:24', '345', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 06:53:24', '623', '94.2'], ['s3', '28085', 'Haltern', '2023-03-28 06:53:24', '317', '-'], ['s4', '20008', 'Lünen', '2023-03-28 06:53:24', '340', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 06:53:24', '346', '48'], ['s6', '10026', 'Mengede, A45', '2023-03-28 06:53:24', '143', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 06:53:24', '126', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 06:53:24', '161', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 06:53:24', '89', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 06:53:24', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 06:53:24', '235', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 06:53:24', '96', '-']]
[['s1', '20001', 'Fusternberg', '2023-03-28 07:10:05', '345', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 07:10:05', '623', '95.6'], ['s3', '28085', 'Haltern', '2023-03-28 07:10:05', '315', '-'], ['s4', '20008', 'Lünen', '2023-03-28 07:10:05', '339', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 07:10:05', '346', '48.2'], ['s6', '10026', 'Mengede, A45', '2023-03-28 07:10:05', '143', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 07:10:05', '126', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 07:10:05', '160', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 07:10:05', '89', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 07:10:05', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 07:10:05', '235', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 07:10:05', '96', '-']]
[['s1', '20001', 'Fusternberg', '2023-03-28 07:26:46', '345', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 07:26:46', '623', '95.3'], ['s3', '28085', 'Haltern', '2023-03-28 07:26:46', '312', '-'], ['s4', '20008', 'Lünen', '2023-03-28 07:26:46', '338', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 07:26:46', '346', '47.8'], ['s6', '10026', 'Mengede, A45', '2023-03-28 07:26:46', '143', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 07:26:46', '125', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 07:26:46', '160', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 07:26:46', '89', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 07:26:46', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 07:26:46', '235', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 07:26:46', '96', '-']]
[['s1', '20001', 'Fusternberg', '2023-03-28 07:43:28', '345', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 07:43:28', '623', '94.1'], ['s3', '28085', 'Haltern', '2023-03-28 07:43:28', '311', '-'], ['s4', '20008', 'Lünen', '2023-03-28 07:43:28', '337', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 07:43:28', '346', '48.3'], ['s6', '10026', 'Mengede, A45', '2023-03-28 07:43:28', '142', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 07:43:28', '125', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 07:43:28', '159', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 07:43:28', '89', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 07:43:28', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 07:43:28', '235', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 07:43:28', '96', '-']]
[['s1', '20001', 'Fusternberg', '2023-03-28 08:00:09', '345', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 08:00:09', '623', '94.8'], ['s3', '28085', 'Haltern', '2023-03-28 08:00:09', '309', '-'], ['s4', '20008', 'Lünen', '2023-03-28 08:00:09', '337', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 08:00:09', '346', '48.7'], ['s6', '10026', 'Mengede, A45', '2023-03-28 08:00:09', '142', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 08:00:09', '125', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 08:00:09', '159', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 08:00:09', '89', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 08:00:09', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 08:00:09', '234', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 08:00:09', '96', '-']]
[['s1', '20001', 'Fusternberg', '2023-03-28 08:16:51', '344', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 08:16:51', '623', '94.8'], ['s3', '28085', 'Haltern', '2023-03-28 08:16:51', '308', '-'], ['s4', '20008', 'Lünen', '2023-03-28 08:16:51', '336', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 08:16:51', '346', '48'], ['s6', '10026', 'Mengede, A45', '2023-03-28 08:16:51', '142', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 08:16:51', '125', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 08:16:51', '159', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 08:16:51', '88', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 08:16:51', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 08:16:51', '233', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 08:16:51', '95', '-']]
[['s1', '20001', 'Fusternberg', '2023-03-28 08:33:32', '345', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 08:33:32', '623', '93.9'], ['s3', '28085', 'Haltern', '2023-03-28 08:33:32', '307', '-'], ['s4', '20008', 'Lünen', '2023-03-28 08:33:32', '335', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 08:33:32', '345', '48.1'], ['s6', '10026', 'Mengede, A45', '2023-03-28 08:33:32', '142', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 08:33:32', '125', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 08:33:32', '159', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 08:33:32', '88', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 08:33:32', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 08:33:32', '232', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 08:33:32', '95', '-']]
[['s1', '20001', 'Fusternberg', '2023-03-28 08:50:13', '345', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 08:50:13', '623', '94.3'], ['s3', '28085', 'Haltern', '2023-03-28 08:50:13', '307', '-'], ['s4', '20008', 'Lünen', '2023-03-28 08:50:13', '335', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 08:50:13', '345', '47.9'], ['s6', '10026', 'Mengede, A45', '2023-03-28 08:50:13', '142', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 08:50:13', '125', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 08:50:13', '159', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 08:50:13', '88', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 08:50:13', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 08:50:13', '231', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 08:50:13', '94', '-']]
[['s1', '20001', 'Fusternberg', '2023-03-28 09:06:55', '344', '-'], ['s2', '20004', 'Dorsten', '2023-03-28 09:06:55', '622', '93.7'], ['s3', '28085', 'Haltern', '2023-03-28 09:06:55', '306', '-'], ['s4', '20008', 'Lünen', '2023-03-28 09:06:55', '334', '-'], ['s5', '20012', 'KA Hamm', '2023-03-28 09:06:55', '345', '47.5'], ['s6', '10026', 'Mengede, A45', '2023-03-28 09:06:55', '142', '-'], ['s7', '10008', 'Bottrop-Süd', '2023-03-28 09:06:55', '125', '-'], ['s8', '10101', 'Bottrop, Essener Straße', '2023-03-28 09:06:55', '158', '-'], ['s9', '10119', 'Gelsenkirchen, Adenauerallee', '2023-03-28 09:06:55', '87', '-'], ['s10', '10099', 'Dinslaken, Konrad-Adenauer-Straße', '2023-03-28 09:06:55', '', '-'], ['s11', '10103', 'Bahnstraße', '2023-03-28 09:06:55', '230', '–'], ['s12', '10124', 'Recklinghausen, Am Stadthafen', '2023-03-28 09:06:55', '94', '-']]
